Day,Online_Sales,Coffee_Sales,Dessert_Sales
2026-01-01,52,39,37
2026-01-02,49,47,49
2026-01-03,43,34,35
2026-01-04,44,47,50
2026-01-05,34,26,28
2026-01-06,29,31,30
2026-01-07,32,48,44
2026-01-08,28,27,26
2026-01-09,21,34,36
2026-01-10,22,22,26
2026-01-11,15,33,36
2026-01-12,12,36,39
2026-01-13,11,23,18
2026-01-14,0,37,40
2026-01-15,-5,27,28
2026-01-16,-5,23,26
2026-01-17,-9,21,23
2026-01-18,-4,49,44
2026-01-19,-9,25,27
2026-01-20,-13,41,43
2026-01-21,-2,29,34
2026-01-22,-6,23,20
2026-01-23,-3,41,36
2026-01-24,-10,48,50
2026-01-25,-9,37,34
2026-01-26,-7,45,42
2026-01-27,-12,31,26
2026-01-28,-6,21,26
2026-01-29,-9,29,28
2026-01-30,-8,49,53
